Country or Territory;Station Name;WMO Station Number;National Station Id Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
UNITED STATES OF AMERICA;GREENSBORO, AL;72000;13511;1961-1990;Mean Monthly Value;mm;143.3;141.7;165.9;144.8;110.2;94.7;134.9;95.8;91.2;74.4;105.7;138.7;1441.3
UNITED STATES OF AMERICA;HIGHLAND HOME, AL;72000;13816;1961-1990;Mean Monthly Value;mm;129.3;143.3;173.2;113.3;113.3;114.0;126.2;110.2;102.4;64.3;106.9;127.8;1424.2
UNITED STATES OF AMERICA;SELMA, AL;72000;17366;1961-1990;Mean Monthly Value;mm;132.6;134.9;171.4;116.3;93.7;100.6;112.8;99.1;94.7;72.6;95.8;140.5;1365.0
UNITED STATES OF AMERICA;TALLADEGA, AL;72000;18024;1961-1990;Mean Monthly Value;mm;146.6;130.3;173.2;127.0;119.4;112.0;124.5;97.3;103.1;78.0;106.2;127.8;1445.4
UNITED STATES OF AMERICA;THOMASVILLE, AL;72000;18178;1961-1990;Mean Monthly Value;mm;137.9;140.5;174.8;115.8;119.1;108.7;152.7;106.7;94.0;71.6;113.5;150.9;1486.2
UNITED STATES OF AMERICA;TUSCALOOSA FAA, AP, AL;72000;18380;1961-1990;Mean Monthly Value;mm;133.4;130.3;159.5;137.2;106.9;97.3;137.4;98.0;82.6;76.7;104.9;130.3;1394.5
UNITED STATES OF AMERICA;UNION SPRINGS 4S, AL;72000;18438;1961-1990;Mean Monthly Value;mm;126.0;135.1;158.2;110.2;102.6;127.5;141.2;106.4;94.7;68.1;97.0;131.1;1398.1
UNITED STATES OF AMERICA;BUCKEYE, AZ;72000;21026;1961-1990;Mean Monthly Value;mm;17.5;18.0;20.1;5.3;2.8;1.0;16.0;29.5;25.4;14.0;17.3;23.6;190.5
UNITED STATES OF AMERICA;FLAGSTAFF/PULLIAM AP, AZ;72000;23010;1961-1990;Mean Monthly Value;mm;51.8;53.1;64.8;37.6;18.3;10.2;70.6;69.8;51.6;40.9;49.5;61.0;579.2
UNITED STATES OF AMERICA;SAFFORD AGRICULTURAL CENTER, AZ;72000;27390;1961-1990;Mean Monthly Value;mm;17.3;16.5;13.2;5.3;4.6;6.6;43.9;39.9;34.5;25.4;14.2;24.4;245.8
UNITED STATES OF AMERICA;WHITERIVER, AZ;72000;29271;1961-1990;Mean Monthly Value;mm;38.9;34.0;49.3;20.8;13.0;13.0;70.6;89.7;44.7;42.4;37.1;44.2;497.7
UNITED STATES OF AMERICA;BRINKLEY, AR;72000;30936;1961-1990;Mean Monthly Value;mm;87.6;107.7;125.0;132.1;143.5;94.5;90.9;83.3;90.2;83.6;115.1;124.7;1278.2
UNITED STATES OF AMERICA;CONWAY, AR;72000;31596;1961-1990;Mean Monthly Value;mm;75.7;91.7;125.5;112.5;131.8;106.9;80.5;74.4;115.1;97.0;123.4;119.1;1253.6
UNITED STATES OF AMERICA;CORNING, AR;72000;31632;1961-1990;Mean Monthly Value;mm;86.1;95.5;133.9;110.7;140.7;79.0;84.3;88.4;104.1;75.4;112.3;114.6;1225.0
UNITED STATES OF AMERICA;EUREKA SPRINGS 3WNW, AR;72000;32356;1961-1990;Mean Monthly Value;mm;51.6;71.4;104.4;106.7;123.7;111.0;82.8;95.5;104.1;94.5;97.3;85.6;1128.6
UNITED STATES OF AMERICA;FAYETTEVILLE EXP STN, AR;72000;32444;1961-1990;Mean Monthly Value;mm;46.7;63.2;98.6;109.0;127.5;126.2;73.2;90.7;114.0;95.8;94.7;79.0;1118.6
UNITED STATES OF AMERICA;GRAVETTE, AR;72000;32930;1961-1990;Mean Monthly Value;mm;51.3;57.7;105.7;115.6;132.3;132.1;75.9;91.7;116.1;99.8;97.5;82.0;1157.7
UNITED STATES OF AMERICA;LITTLE ROCK/ADAMS FIELD AR;72000;34248;1961-1990;Mean Monthly Value;mm;86.9;91.7;124.7;139.4;131.3;90.7;91.4;82.8;102.9;95.3;132.1;122.7;1291.9
UNITED STATES OF AMERICA;MENA, AR;72000;34756;1961-1990;Mean Monthly Value;mm;68.6;91.9;133.9;128.5;162.6;115.3;123.7;68.8;127.8;130.3;123.2;109.7;1384.3
UNITED STATES OF AMERICA;OZARK, AR;72000;35508;1961-1990;Mean Monthly Value;mm;58.9;74.4;114.8;95.3;135.9;93.5;83.3;70.6;102.4;97.0;104.9;94.5;1125.5
UNITED STATES OF AMERICA;PINE BLUFF, AR;72000;35754;1961-1990;Mean Monthly Value;mm;96.8;110.5;128.3;127.3;134.4;80.3;100.6;94.7;95.8;103.9;117.9;139.7;1330.2
UNITED STATES OF AMERICA;POCAHONTAS 1, AR;72000;35820;1961-1990;Mean Monthly Value;mm;89.2;95.0;144.8;111.8;133.4;79.0;89.9;88.6;99.6;79.2;125.2;117.1;1252.8
UNITED STATES OF AMERICA;PRESCOTT, AR;72000;35908;1961-1990;Mean Monthly Value;mm;95.5;108.5;133.4;133.4;134.1;112.0;107.9;92.7;109.0;110.0;139.4;134.1;1410.0
UNITED STATES OF AMERICA;SUBIACO, AR;72000;36928;1961-1990;Mean Monthly Value;mm;56.4;79.0;106.7;102.1;141.5;103.9;86.1;85.9;94.0;93.0;104.1;95.0;1147.7
UNITED STATES OF AMERICA;BERKELEY, CA;72000;40693;1961-1990;Mean Monthly Value;mm;127.8;95.3;94.2;46.2;8.4;3.8;1.8;2.5;9.4;37.6;95.0;95.3;617.3
UNITED STATES OF AMERICA;CHICO UNIV FARM, CA;72000;41715;1961-1990;Mean Monthly Value;mm;132.6;95.0;105.7;42.4;13.7;8.9;1.3;4.6;15.0;43.4;107.7;98.3;668.6
UNITED STATES OF AMERICA;HEALDSBURG, CA;72000;43875;1961-1990;Mean Monthly Value;mm;231.1;170.2;145.8;60.2;13.7;3.8;1.8;4.1;14.2;63.8;176.3;188.0;1073.0
UNITED STATES OF AMERICA;LOS ANGELES/WBO CA;72000;45115;1961-1990;Mean Monthly Value;mm;74.2;78.0;66.3;26.2;4.8;.8;.3;3.6;11.4;7.9;50.3;51.6;375.4
UNITED STATES OF AMERICA;REDLANDS, CA;72000;47306;1961-1990;Mean Monthly Value;mm;59.9;60.2;54.4;25.9;9.7;1.8;2.5;6.4;12.4;11.4;36.1;44.4;325.1
UNITED STATES OF AMERICA;SAN FRANCISCO/MISSION DOLORES,CA;72000;47772;1961-1990;Mean Monthly Value;mm;103.1;74.9;78.0;32.8;6.4;3.8;1.0;1.8;6.6;32.0;81.5;78.7;500.6
UNITED STATES OF AMERICA;SAN LUIS OBISPO POLY, CA;72000;47851;1961-1990;Mean Monthly Value;mm;127.3;116.1;95.5;41.7;8.6;1.0;1.0;2.0;10.9;26.7;69.8;95.3;595.9
UNITED STATES OF AMERICA;VACAVILLE, CA;72000;49200;1961-1990;Mean Monthly Value;mm;142.7;99.1;83.6;35.8;6.9;2.8;1.3;1.0;8.9;34.0;93.5;96.0;605.6
UNITED STATES OF AMERICA;CHEYENNE WELLS, CO;72000;51564;1961-1990;Mean Monthly Value;mm;5.3;6.6;19.8;24.9;77.0;60.5;64.3;51.1;44.4;20.3;12.2;6.1;392.5
UNITED STATES OF AMERICA;FORT COLLINS, CO;72000;53005;1961-1990;Mean Monthly Value;mm;10.9;9.9;34.3;44.7;68.1;48.3;46.2;32.0;33.0;24.6;17.8;13.0;382.8
UNITED STATES OF AMERICA;FORT MORGAN, CO;72000;53038;1961-1990;Mean Monthly Value;mm;5.1;3.8;17.8;30.5;66.8;54.6;45.7;37.8;28.7;16.8;9.7;6.6;323.9
UNITED STATES OF AMERICA;HERMIT 7ESE, CO;72000;53951;1961-1990;Mean Monthly Value;mm;19.8;19.0;33.3;30.7;26.4;18.5;63.0;59.2;40.9;40.4;30.5;32.3;414.0
UNITED STATES OF AMERICA;HOLLY, CO;72000;54076;1961-1990;Mean Monthly Value;mm;6.9;8.4;20.3;26.7;64.3;75.7;54.6;53.6;41.7;22.4;13.5;6.9;395.0
UNITED STATES OF AMERICA;LAS ANIMAS, CO;72000;54834;1961-1990;Mean Monthly Value;mm;7.1;9.4;17.5;23.4;51.6;43.9;52.8;35.3;30.5;17.8;11.4;7.1;307.8
UNITED STATES OF AMERICA;MONTROSE #2, CO;72000;55722;1961-1990;Mean Monthly Value;mm;11.9;10.7;16.8;19.3;21.6;15.5;25.7;28.2;29.7;29.0;21.1;16.5;246.0
UNITED STATES OF AMERICA;STEAMBOAT SPRINGS, CO;72000;57936;1961-1990;Mean Monthly Value;mm;59.9;50.5;51.8;55.4;53.6;38.6;38.9;37.6;41.7;47.5;53.1;65.3;593.9
UNITED STATES OF AMERICA;TRINIDAD, CO;72000;58429;1961-1990;Mean Monthly Value;mm;9.9;14.5;23.6;27.7;48.8;44.4;63.5;65.8;34.8;22.4;20.1;13.5;389.0
UNITED STATES OF AMERICA;GROTON, CT;72000;63207;1961-1990;Mean Monthly Value;mm;105.4;97.3;110.0;108.7;102.9;88.1;82.6;94.2;91.7;98.8;125.5;118.1;1223.3
UNITED STATES OF AMERICA;STAMFORD 5N, CT;72000;67970;1961-1990;Mean Monthly Value;mm;95.8;86.4;107.2;111.8;120.4;100.3;100.3;101.1;103.9;103.9;117.1;107.4;1255.6
UNITED STATES OF AMERICA;STORRS, CT;72000;68138;1961-1990;Mean Monthly Value;mm;98.0;87.9;96.5;105.9;106.7;95.8;105.2;100.6;99.6;105.2;113.0;106.2;1220.6
UNITED STATES OF AMERICA;DOVER, DE;72000;72730;1961-1990;Mean Monthly Value;mm;85.9;74.4;96.5;88.9;101.3;97.8;105.4;107.9;110.2;82.8;80.0;89.9;1121.0
UNITED STATES OF AMERICA;MILFORD 4SE, DE;72000;75915;1961-1990;Mean Monthly Value;mm;90.7;80.8;100.6;88.4;100.6;87.4;91.4;109.5;94.7;84.6;83.3;92.2;1104.2
UNITED STATES OF AMERICA;WILMINGTON/GREATER WILMINGTON, DE;72000;79595;1961-1990;Mean Monthly Value;mm;77.0;73.9;87.1;86.1;97.5;90.2;107.4;86.4;87.1;73.2;83.1;88.4;1037.4
UNITED STATES OF AMERICA;WILMINGTON PORTER RESERVOIR, DE;72000;79605;1961-1990;Mean Monthly Value;mm;88.1;77.5;96.8;101.9;110.0;103.1;111.5;102.9;100.3;83.8;96.5;97.5;1169.9
UNITED STATES OF AMERICA;ARCADIA, FL;72000;80228;1961-1990;Mean Monthly Value;mm;51.8;73.7;76.7;41.1;101.9;213.4;187.5;192.3;165.6;76.5;52.1;55.1;1287.7
UNITED STATES OF AMERICA;DE FUNIAK SPRINGS, FL;72000;82220;1961-1990;Mean Monthly Value;mm;131.8;142.2;151.9;96.3;112.0;164.1;197.6;177.0;140.0;94.0;102.4;124.0;1633.3
UNITED STATES OF AMERICA;FEDERAL POINT, FL;72000;82915;1961-1990;Mean Monthly Value;mm;78.5;96.0;91.4;59.9;101.9;164.8;161.5;188.0;176.3;68.6;70.4;75.4;1332.7
UNITED STATES OF AMERICA;FERNANDINA BEACH, FL;72000;82944;1961-1990;Mean Monthly Value;mm;86.9;96.0;99.8;70.1;84.3;134.1;157.2;151.6;174.0;82.3;81.0;73.9;1291.2
UNITED STATES OF AMERICA;FORT MYERS WSO AP, FL;72000;83186;1961-1990;Mean Monthly Value;mm;46.7;56.6;78.0;26.9;98.3;241.8;209.8;245.4;198.6;74.7;39.9;38.9;1355.6
UNITED STATES OF AMERICA;INVERNESS 3SE, FL;72000;84289;1961-1990;Mean Monthly Value;mm;83.3;87.6;98.8;52.6;97.5;185.4;206.2;219.5;154.2;48.8;56.1;66.5;1356.5
UNITED STATES OF AMERICA;LAKE CITY 2E, FL;72000;84731;1961-1990;Mean Monthly Value;mm;105.7;107.7;118.1;77.5;112.5;171.7;178.1;199.6;129.0;52.8;63.0;93.7;1409.4
UNITED STATES OF AMERICA;MADISON 4N, FL;72000;85275;1961-1990;Mean Monthly Value;mm;118.1;117.9;135.6;82.6;91.9;132.3;163.6;134.6;105.4;56.4;81.3;118.6;1338.3
UNITED STATES OF AMERICA;SAINT LEO, FL;72000;87851;1961-1990;Mean Monthly Value;mm;79.8;96.5;102.4;46.2;119.6;182.6;197.9;204.2;158.0;56.4;63.0;67.3;1373.9
UNITED STATES OF AMERICA;ALBANY 3SE, GA;72000;90140;1961-1990;Mean Monthly Value;mm;141.2;125.7;132.6;94.0;103.1;132.3;149.1;111.0;88.6;48.5;81.8;99.6;1307.5
UNITED STATES OF AMERICA;BLAKELY, GA;72000;90979;1961-1990;Mean Monthly Value;mm;147.6;136.1;148.1;98.3;114.8;126.0;138.9;114.6;87.6;61.0;89.4;116.8;1379.2
UNITED STATES OF AMERICA;COLUMBUS, GA;72000;92166;1961-1990;Mean Monthly Value;mm;116.6;123.2;146.6;109.2;105.9;103.4;140.7;94.7;82.0;56.4;90.4;126.2;1295.3
UNITED STATES OF AMERICA;DAHLONEGA, GA;72000;92475;1961-1990;Mean Monthly Value;mm;160.8;153.2;185.7;138.2;144.5;109.7;149.4;127.8;120.9;103.1;126.5;148.3;1668.1
UNITED STATES OF AMERICA;EASTMAN 1W, GA;72000;92966;1961-1990;Mean Monthly Value;mm;118.1;113.8;116.6;92.7;85.6;111.8;133.4;108.7;73.7;57.9;71.9;93.7;1177.9
UNITED STATES OF AMERICA;HAWKINSVILLE, GA;72000;94170;1961-1990;Mean Monthly Value;mm;125.7;117.3;109.0;93.2;87.1;99.6;115.1;94.7;84.1;54.6;73.9;103.9;1158.2
UNITED STATES OF AMERICA;MILLEDGEVILLE, GA;72000;95874;1961-1990;Mean Monthly Value;mm;118.9;118.9;121.4;90.9;101.9;89.7;108.5;114.3;74.2;64.5;76.5;101.6;1181.3
UNITED STATES OF AMERICA;MILLEN 4N, GA;72000;95882;1961-1990;Mean Monthly Value;mm;101.6;108.2;107.9;77.2;98.8;113.8;127.3;113.5;83.6;67.3;65.3;93.2;1157.7
UNITED STATES OF AMERICA;NEWNAN 4NE, GA;72000;96335;1961-1990;Mean Monthly Value;mm;133.9;130.6;147.3;118.1;118.1;105.9;118.9;100.6;71.1;81.0;100.8;118.6;1344.9
UNITED STATES OF AMERICA;QUITMAN 2NW, GA;72000;97276;1961-1990;Mean Monthly Value;mm;117.1;123.4;120.6;96.5;93.5;127.5;172.2;146.3;88.9;51.1;75.9;113.8;1326.8
UNITED STATES OF AMERICA;ROME, GA;72000;97600;1961-1990;Mean Monthly Value;mm;133.6;128.8;169.2;130.6;114.6;105.7;121.7;102.1;94.7;76.5;104.4;123.7;1405.6
UNITED STATES OF AMERICA;TALBOTTON 1NE, GA;72000;98535;1961-1990;Mean Monthly Value;mm;127.8;130.8;157.5;118.9;99.1;110.2;127.8;106.2;79.2;68.8;90.7;127.0;1344.0
UNITED STATES OF AMERICA;WAYCROSS 4NE, GA;72000;99186;1961-1990;Mean Monthly Value;mm;111.0;96.0;117.1;79.2;99.8;133.1;151.9;153.4;93.5;60.7;65.3;96.8;1257.8
UNITED STATES OF AMERICA;WEST POINT, GA;72000;99291;1961-1990;Mean Monthly Value;mm;122.9;136.1;145.8;126.2;94.7;89.9;149.6;84.3;79.8;70.9;93.2;133.6;1327.0
UNITED STATES OF AMERICA;OAKLEY, ID;72000;106542;1961-1990;Mean Monthly Value;mm;20.1;15.5;24.9;25.7;42.4;35.8;20.1;25.1;21.3;19.0;22.4;20.3;292.6
UNITED STATES OF AMERICA;PRIEST RIVER EXPERIMENT STN, ID;72000;107386;1961-1990;Mean Monthly Value;mm;100.6;79.2;70.4;52.8;62.0;52.3;30.7;36.8;38.9;51.3;110.0;113.3;798.3
UNITED STATES OF AMERICA;ALEDO, IL;72000;110072;1961-1990;Mean Monthly Value;mm;30.2;23.6;61.5;91.4;92.2;104.1;106.4;103.4;96.3;75.4;57.2;46.5;888.2
UNITED STATES OF AMERICA;AURORA, IL;72000;110338;1961-1990;Mean Monthly Value;mm;39.6;34.0;65.3;97.3;96.0;107.9;104.4;98.0;97.5;63.2;71.6;61.7;936.5
UNITED STATES OF AMERICA;CARLINVILLE, IL;72000;111280;1961-1990;Mean Monthly Value;mm;43.9;49.3;88.9;94.0;113.8;90.9;100.3;87.6;90.9;70.1;78.7;77.7;986.1
UNITED STATES OF AMERICA;DANVILLE, IL;72000;112140;1961-1990;Mean Monthly Value;mm;48.5;48.5;80.0;103.9;108.7;103.9;113.0;103.4;80.0;75.2;77.5;78.0;1020.6
UNITED STATES OF AMERICA;DECATUR, IL;72000;112193;1961-1990;Mean Monthly Value;mm;50.0;50.3;87.4;96.5;109.5;98.3;109.0;103.4;86.4;71.6;77.5;80.3;1020.2
UNITED STATES OF AMERICA;DIXON 1NW, IL;72000;112348;1961-1990;Mean Monthly Value;mm;34.8;28.2;64.3;88.4;101.1;113.8;92.5;100.8;96.0;68.3;63.5;52.1;903.8
UNITED STATES OF AMERICA;DUQUOIN 4SE, IL;72000;112483;1961-1990;Mean Monthly Value;mm;61.0;66.0;117.6;99.1;111.3;90.7;99.1;83.3;79.2;75.4;99.8;94.7;1077.2
UNITED STATES OF AMERICA;GALVA, IL;72000;113335;1961-1990;Mean Monthly Value;mm;37.8;31.5;72.1;103.1;98.6;105.4;105.7;97.8;103.4;70.1;65.3;58.2;949.0
UNITED STATES OF AMERICA;GRIGGSVILLE, IL;72000;113717;1961-1990;Mean Monthly Value;mm;38.9;40.1;82.3;93.7;109.7;93.7;111.8;86.4;98.6;81.0;75.9;67.1;979.2
UNITED STATES OF AMERICA;HARRISBURG, IL;72000;113879;1961-1990;Mean Monthly Value;mm;71.6;81.3;124.5;109.0;130.0;98.0;102.6;83.6;75.2;73.7;101.1;104.6;1155.2
UNITED STATES OF AMERICA;HILLSBORO, IL;72000;114108;1961-1990;Mean Monthly Value;mm;49.0;51.1;92.5;98.8;117.6;99.6;99.1;88.6;89.7;73.2;87.6;87.6;1034.4
UNITED STATES OF AMERICA;HOOPESTON 1NE, IL;72000;114198;1961-1990;Mean Monthly Value;mm;39.1;41.1;73.7;96.8;105.2;93.0;99.8;96.5;85.1;68.8;72.6;66.3;938.0
UNITED STATES OF AMERICA;JACKSONVILLE 2E, IL;72000;114442;1961-1990;Mean Monthly Value;mm;33.5;40.1;80.5;98.3;123.4;106.7;110.2;89.2;100.3;75.7;72.1;67.1;997.1
UNITED STATES OF AMERICA;LA HARPE, IL;72000;114823;1961-1990;Mean Monthly Value;mm;37.3;33.0;77.2;99.3;98.6;110.0;109.5;100.1;113.0;76.7;69.6;56.1;980.4
UNITED STATES OF AMERICA;MARENGO, IL;72000;115326;1961-1990;Mean Monthly Value;mm;38.4;28.2;60.2;92.5;88.9;111.5;101.3;109.7;100.1;67.8;67.8;52.8;919.2
UNITED STATES OF AMERICA;MCLEANSBORO, IL;72000;115515;1961-1990;Mean Monthly Value;mm;63.8;69.3;117.9;107.4;116.3;86.6;96.0;78.2;70.9;77.2;103.1;96.0;1082.7
UNITED STATES OF AMERICA;MINONK, IL;72000;115712;1961-1990;Mean Monthly Value;mm;39.4;40.6;79.8;96.5;99.3;90.7;101.3;81.8;99.3;68.8;76.2;62.7;936.4
UNITED STATES OF AMERICA;MONMOUTH, IL;72000;115768;1961-1990;Mean Monthly Value;mm;38.9;34.8;75.2;93.5;97.5;100.6;111.0;95.5;101.3;76.5;59.9;57.7;942.4
UNITED STATES OF AMERICA;MORRISON, IL;72000;115833;1961-1990;Mean Monthly Value;mm;34.0;31.0;71.6;94.5;111.3;109.0;94.0;115.6;85.1;70.4;66.0;54.1;936.6
UNITED STATES OF AMERICA;MT VERNON 3NE, IL;72000;115943;1961-1990;Mean Monthly Value;mm;55.4;66.5;107.4;106.2;112.8;86.1;102.1;80.0;83.3;73.9;100.6;90.9;1065.2
UNITED STATES OF AMERICA;OTTAWA 4SW, IL;72000;116526;1961-1990;Mean Monthly Value;mm;36.6;31.0;72.9;95.0;96.0;104.6;96.5;94.2;98.0;59.9;69.6;58.4;912.7
UNITED STATES OF AMERICA;PALESTINE, IL;72000;116558;1961-1990;Mean Monthly Value;mm;56.9;63.5;107.2;97.8;114.6;93.0;117.1;91.7;83.3;74.7;91.2;85.9;1076.9
UNITED STATES OF AMERICA;PANA, IL;72000;116579;1961-1990;Mean Monthly Value;mm;50.5;54.6;93.5;94.2;102.9;100.1;108.7;85.9;82.8;72.6;85.3;89.9;1021.0
UNITED STATES OF AMERICA;PARIS WATERWORKS, IL;72000;116610;1961-1990;Mean Monthly Value;mm;54.4;54.4;87.9;99.6;109.0;95.3;122.9;97.5;79.0;66.0;85.1;91.2;1042.3
UNITED STATES OF AMERICA;PONTIAC, IL;72000;116910;1961-1990;Mean Monthly Value;mm;38.4;33.5;68.6;90.9;99.3;97.3;102.6;79.5;90.9;62.0;69.3;64.5;896.8
UNITED STATES OF AMERICA;RUSHVILLE, IL;72000;117551;1961-1990;Mean Monthly Value;mm;39.1;41.7;86.1;101.9;113.8;102.9;107.4;95.5;107.9;82.8;70.4;64.0;1013.5
UNITED STATES OF AMERICA;SPARTA, IL;72000;118147;1961-1990;Mean Monthly Value;mm;48.3;65.8;109.0;97.3;112.8;85.3;105.7;86.9;84.6;78.0;94.5;90.4;1058.6
UNITED STATES OF AMERICA;URBANA, IL;72000;118740;1961-1990;Mean Monthly Value;mm;46.5;50.0;83.8;100.1;100.8;103.4;113.3;102.4;85.3;67.6;78.7;76.7;1008.6
UNITED STATES OF AMERICA;WALNUT, IL;72000;118916;1961-1990;Mean Monthly Value;mm;32.0;29.5;74.2;100.8;101.6;101.9;98.0;109.5;100.8;68.1;61.0;51.3;928.7
UNITED STATES OF AMERICA;WHITE HALL 1E, IL;72000;119241;1961-1990;Mean Monthly Value;mm;35.8;41.1;81.3;89.7;110.7;90.7;91.7;78.7;89.9;71.1;69.3;68.1;918.1
UNITED STATES OF AMERICA;WINDSOR, IL;72000;119354;1961-1990;Mean Monthly Value;mm;45.5;49.5;85.6;95.0;101.6;94.0;101.3;80.0;81.0;72.1;83.6;85.6;974.8
UNITED STATES OF AMERICA;ANDERSON SEWAGE PLANT, IN;72000;120177;1961-1990;Mean Monthly Value;mm;50.8;56.9;88.6;100.8;95.8;89.9;104.1;85.9;77.5;66.0;82.8;78.0;977.1
UNITED STATES OF AMERICA;CHARLESTON ORDINANCE PH, IN;72000;121425;1961-1990;Mean Monthly Value;mm;73.2;75.9;121.2;110.7;122.9;101.3;114.6;97.5;82.3;76.5;92.7;95.5;1164.3
UNITED STATES OF AMERICA;COLUMBUS, IN;72000;121747;1961-1990;Mean Monthly Value;mm;62.2;65.0;103.9;105.4;116.3;68.8;117.9;92.5;66.5;68.8;90.4;83.6;1041.3
UNITED STATES OF AMERICA;DELPHI 3NNE, IN;72000;122149;1961-1990;Mean Monthly Value;mm;45.2;47.2;72.1;92.2;98.8;95.3;99.8;100.6;75.2;64.8;74.2;75.2;940.6
UNITED STATES OF AMERICA;GREENFIELD, IN;72000;123527;1961-1990;Mean Monthly Value;mm;61.0;63.0;89.7;102.1;108.7;89.9;135.9;101.9;77.0;75.7;89.2;83.1;1077.2
