Content:,Emissions by country and main source category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound:,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start year:,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End year:,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:,Gg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Crippa, M., Oreggioni, G., Guizzardi, D., Muntean, M., Schaaf, E., Lo Vullo, E., Solazzo, E., Monforti-Ferrario, F., Olivier, J.G.J., Vignati, E., Fossil CO2 and GHG emissions of all world countries - 2019 Report, EUR 29849 EN, Publications Office of the European Union, Luxembourg, 2019, ISBN 978-92-76-11100-9, doi:10.2760/687800, JRC117610.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Annex_I,Rest Central America,ANT,Netherlands Antilles,4.118380288,4.194786023,4.419125828,4.91229226,4.45338564,4.428560578,4.061966915,4.901240913,4.166459517,4.053656618,4.292502938,3.938928325,4.010341722,3.94662829,3.818831877,2.869032837,2.78360606,2.871283387,2.863060537,2.924542006,2.944290122,2.959521896,3.573610852,3.593955626,3.730598243,3.663189987,3.821625741,3.769161769,3.495612547,3.702951003,3.559593768,3.21931139,2.986919792,2.999617837,3.129334263,3.111670017,3.062992654,3.22795684,3.375838687,3.04632947,2.629484449,3.546144547,2.812872885,2.703894187,2.630760574,2.658343465,,
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,2.690295486,3.199743508,3.178165094,3.221671442,3.233240182,3.272877608,3.290923834,3.344067678,3.475585708,3.684011018,3.843493119,3.80910453,3.877324453,3.835991765,3.830823987,3.918567705,3.900188536,3.889201087,3.87266279,3.733398003,3.709337035,3.768428682,3.819122906,3.857986913,3.917740885,3.943631993,3.9408523,3.958531069,3.967286006,4.02154652,4.037449507,4.037526972,4.025795673,4.032873076,4.038407666,4.016272499,3.98161356,3.939096649,3.901562777,3.85879174,3.175357588,3.238233877,3.225203072,3.21985041,3.217138902,3.194095246,,
Non-Annex_I,Rest Central America,BHS,Bahamas,2.603608468,2.794106492,2.883446243,3.033536548,2.879109457,2.921164655,2.887010271,3.140085679,2.995380384,3.021673774,3.147217569,3.190764257,3.21317812,3.188938879,3.232453162,3.142834785,3.207586639,3.301603882,3.376776201,3.470439312,3.607163775,3.658789242,3.785130098,3.873154216,4.004404354,4.136579729,4.331036955,4.335614918,4.397208717,4.410342694,4.424266194,4.408350116,4.502937123,4.713554196,4.849293103,4.970655389,5.00699273,5.052632086,4.913430903,4.994162806,4.938316153,5.203326887,5.241698928,5.258361635,5.2672364,5.316437129,,
Non-Annex_I,Rest Central America,BLZ,Belize,4.524100352,5.170350959,5.340386714,5.449698936,5.865830076,6.035341792,6.037287626,6.09814031,6.083568792,6.136156996,6.297817774,6.444483276,6.451582798,6.380664443,6.412780967,6.356129603,6.273793289,6.376662804,6.548403452,7.175930097,8.207245051,7.653834927,8.223663024,7.846029384,7.964035644,7.015074665,7.31700385,7.745150902,8.003278751,8.329651673,8.046706948,8.582171458,8.895751563,9.075024507,9.20661348,9.333350998,10.00422043,10.526542,10.80235147,11.7959381,12.01786755,12.41515027,12.67199828,13.58042463,12.55198443,12.83420651,,
Non-Annex_I,Rest Central America,BMU,Bermuda,0.81412338,0.849111055,0.856382451,0.870605142,0.844022737,0.8517895,0.846348477,0.880978686,0.86222067,0.870138263,0.890106527,0.879797562,0.886823595,0.902378967,0.901500409,0.864778004,0.857857122,0.89240452,0.91087657,0.94393315,0.92438884,0.92538931,0.936123218,0.949943834,0.958390155,0.95151643,0.973670961,0.969950812,0.958459826,0.977711005,0.974666805,0.949612333,0.953867656,0.960174299,0.976109767,0.972429241,0.961125014,0.987858891,0.952028416,0.951693929,0.919689821,0.955891169,0.943688448,0.900217471,0.893507055,0.895358952,,
Non-Annex_I,Rest Central America,BRB,Barbados,4.291552676,4.314884464,4.15862913,4.257577992,4.073979192,3.804151128,3.874855594,4.031035489,4.103828134,4.238955737,4.446072095,4.269546738,4.155957764,4.192039218,4.364302401,4.364635107,4.559728544,4.512454615,4.683449262,5.088035984,5.093435924,5.006957686,5.036600622,4.896869375,4.859316946,4.845468761,4.98605374,4.80346992,4.834381391,4.890289998,4.739179924,4.47402021,4.281986969,4.118434088,3.966006582,3.955134961,3.749687003,3.962654442,4.085352979,4.282716927,4.271823153,4.298434644,4.333768395,4.300229738,4.27717901,4.287057234,,
Non-Annex_I,Rest Central America,CRI,Costa Rica,120.2023746,123.7083013,128.4484301,141.6570275,143.3174944,147.8124961,149.530312,152.7770856,158.5819847,165.0594767,166.6171632,175.8622971,175.3265709,180.3914812,184.7649002,178.1768235,176.9905939,176.1614737,172.5615787,169.7565865,174.8424847,173.5342089,173.0105131,171.6581286,158.6682176,143.9661725,142.5213658,138.4538168,139.0085746,134.7737899,131.6625536,127.7247203,123.7606302,121.7610821,120.2751034,123.9790826,120.8377368,129.0908677,136.1146075,136.8412045,143.7066437,143.6119597,136.4459614,139.2177278,136.960182,137.7247867,,
Non-Annex_I,Rest Central America,CUB,Cuba,665.9312381,619.9514789,605.5245313,632.7443224,626.8471931,621.7820342,623.4266101,615.2953288,617.9555605,616.0253529,609.674992,605.3996221,612.572754,609.9582641,618.5309387,615.3131202,615.7375598,608.504377,611.01462,628.7192309,619.4387011,608.0907428,605.9819075,553.8816043,580.159988,560.8190981,594.1115867,622.1394329,599.0638714,587.5070906,588.9094772,578.1644999,579.4008259,579.4434637,558.5650792,527.8747929,545.0467343,551.0897864,565.6942746,594.1367214,574.4384111,584.4968585,585.8710458,589.6877962,593.4697675,569.8668515,,
Non-Annex_I,Rest Central America,CYM,Cayman Islands,0.329500639,0.355704216,0.368607032,0.385342824,0.404253237,0.417955909,0.439935899,0.465062866,0.478824669,0.491676672,0.514999224,0.543100931,0.557060075,0.729026479,0.385062344,0.386119741,0.405553461,0.410244026,0.421906852,0.429584473,0.468285945,0.46045387,0.488664533,0.501618411,0.545439547,0.573762605,0.605106589,0.626080993,0.651107334,0.687489275,0.709687098,0.721421935,0.734302694,0.757966055,0.790040907,0.802670864,0.708472086,0.739460475,0.773859402,0.761557047,0.756529405,0.801227618,0.806396381,0.807393023,0.812018452,0.825438412,,
Non-Annex_I,Rest Central America,DMA,Dominica,0.887258721,0.984470483,1.020309758,1.05591653,1.090606027,1.13081012,1.17572365,1.221680062,1.266019671,1.311929746,1.353068189,1.391289407,1.431530579,1.465812299,1.513865636,1.586474391,1.663607673,1.831921049,1.868732069,1.963106543,1.997006896,1.977258002,1.973651785,1.98558469,1.999795477,2.002374757,2.004931716,2.003110787,2.00159022,1.994800047,1.993584652,1.995816115,2.010394662,2.018422547,2.02878748,2.022257237,2.03859253,2.053024199,2.053399313,2.064300915,2.073430563,2.104914064,2.133466351,2.131571575,2.13496449,2.144990433,,
Non-Annex_I,Rest Central America,DOM,Dominican Republic,176.4973279,187.0257358,189.0841571,193.5307449,214.2222808,228.7007935,245.4556593,244.1114048,234.6581989,244.5914274,247.3975975,239.7022969,248.308321,261.1573933,260.0604204,256.1424115,254.1854308,264.9383122,263.587349,275.0689825,269.7929544,281.9743947,268.9115592,280.116108,276.9364727,279.5849289,285.4329131,285.4167572,285.1324153,261.268292,250.929745,263.754489,271.36156,266.4648394,286.8930606,278.8110675,284.3438782,313.0167912,321.0798021,333.4405384,340.0064465,343.582682,343.8738377,346.0061835,348.5278028,348.3570892,,
Non-Annex_I,Rest Central America,GLP,Guadeloupe,10.71255319,11.65485992,11.53604464,11.92783775,11.98516718,12.23224955,12.72339245,12.80456015,13.04971923,13.2126067,13.31089238,13.58444212,13.82135726,14.09421033,14.56805132,14.87125069,14.43609842,14.23914794,14.41327188,14.52717614,14.16237077,14.42528696,14.41254077,14.33604375,14.6659588,14.7198754,16.17830125,16.53461489,16.47968024,15.50507109,15.62943316,15.54953679,17.22816201,16.5828632,16.53340558,16.53815049,16.65075142,16.63637049,16.77691773,16.56916698,16.51803734,16.62885643,16.56309733,16.5269857,16.49093097,16.55388089,,
Non-Annex_I,Rest Central America,GRD,Grenada,1.08902665,1.120031638,1.052616669,1.069498594,1.035713644,0.990134357,1.055127504,1.091530657,1.132963113,1.115420614,1.103528501,1.109314198,1.112558153,1.110458383,1.095401631,1.064325307,1.030775806,1.002314927,0.982602628,0.97753755,1.018452464,1.00344586,1.017889708,1.03135441,1.042948547,1.050540912,1.062938792,1.092000121,1.104695355,1.118427648,1.105847639,1.120129486,1.1197151,1.124828153,1.148328126,1.14685395,1.145079322,1.158789362,1.143244623,1.164091475,1.143738182,1.163391638,1.172108116,1.171896198,1.165561601,1.174242623,,
Non-Annex_I,Rest Central America,GTM,Guatemala,161.8095568,172.9796814,182.7697198,182.5918632,176.6226954,180.2440912,169.2905103,178.5225646,183.7172275,189.2233929,202.3498658,210.507364,207.2468982,221.5421282,218.4509296,221.3559642,221.4737174,224.9242872,230.5021726,232.7872304,237.186173,243.1221757,255.4510728,265.6418936,261.4132097,265.4263918,268.4610928,274.5851148,277.5147096,292.5931375,293.2504682,302.6235724,309.8811383,299.833489,310.6430498,319.022197,327.0002229,344.9267541,360.6372496,376.8685411,405.535062,407.3528292,417.2047005,428.9790251,445.6825014,458.0417467,,
Non-Annex_I,Rest Central America,HND,Honduras,120.4592348,123.0281793,125.3353436,127.2588953,135.7229359,139.218089,140.8739658,144.4704138,145.8200124,149.1062462,153.4481816,156.5319817,158.1014539,182.1079345,191.073963,190.4697534,188.3352887,188.1374955,185.7827902,184.3328152,185.8548207,188.5922943,189.5568503,177.7867324,192.3195233,186.3262582,189.7828321,189.618955,184.9795348,165.7100021,172.5905326,177.2654723,203.210675,225.0136202,228.7692766,217.9289128,221.5000729,244.624018,254.326701,268.8636642,276.8596634,266.3400233,272.8572845,275.9310736,276.8560003,281.9073872,,
Non-Annex_I,Rest Central America,HTI,Haiti,143.8625833,147.899921,152.2840701,152.1128129,151.9536885,152.4113247,154.3599555,157.202628,164.1067314,167.7701981,174.4995038,166.5321256,171.277526,173.6210859,175.7089391,174.8048036,162.739964,161.146789,161.4408813,160.3112823,161.3312716,168.1515918,177.9605131,180.835481,182.5007987,184.3201088,190.0708007,191.8026899,194.4407849,197.7532889,201.8781187,207.0885746,205.2257382,205.5131538,207.6367632,291.4416392,297.1122199,304.1677221,310.1755759,317.5133531,324.3469558,331.9362005,339.5122499,346.1339389,347.6573709,347.0282974,,
Non-Annex_I,Rest Central America,JAM,Jamaica,49.79551601,54.37830244,55.06351737,56.01709675,56.93952051,58.11080235,59.30025541,59.8755472,60.33555966,61.10304398,62.72193394,62.89641106,64.4854873,68.20387871,74.73299947,74.09647753,77.10146752,77.59269577,77.22030899,77.66959664,84.07850699,87.44140251,91.21615564,92.08739819,91.88797785,93.71872973,92.94218472,92.57134564,92.97307643,94.27063732,105.0882597,105.5179266,105.7115866,108.1765236,106.1206054,105.1434692,97.34077715,97.00744793,97.65104823,98.01419093,93.67455021,95.98916191,96.48230838,96.53149843,96.74007989,97.89088347,,
Non-Annex_I,Rest Central America,KNA,Saint Kitts and Nevis,0.916116351,0.902408934,0.900690949,0.880169038,0.886326556,0.877523023,0.934681191,0.952529353,0.948634123,0.946944538,0.924454116,0.906696442,0.920034734,0.872858908,0.879844014,0.857538943,0.85464533,0.844589532,0.834089676,0.807264493,0.750521041,0.759309936,0.799363725,0.758219386,0.747799603,0.747402124,0.770129826,0.834035552,0.817910659,0.806613147,0.836222633,0.841617486,0.847751434,0.862329634,0.904638826,0.844735018,0.451804937,0.469713378,0.483726753,0.480916197,0.47360131,0.495363861,0.469760902,0.464539409,0.463228873,0.465400746,,
Non-Annex_I,Rest Central America,LCA,Saint Lucia,2.197806208,2.456827372,2.4737153,2.504634431,2.524069202,2.560752308,2.62728929,2.710331887,2.782649372,2.861978829,2.943751514,3.019048527,3.116898854,3.197521341,3.291262487,3.349637488,3.420955097,3.494803259,3.566329462,3.638364198,3.752361081,3.771301464,3.804699409,3.819480218,3.862747149,3.881397662,3.901396798,3.921104611,3.94150974,3.960070838,3.862608578,3.799664104,3.743981029,3.684265642,3.625693465,3.553487903,3.47775308,3.434050682,3.38161223,3.327573067,3.249826582,3.273768922,3.289128254,3.3404043,3.377677409,3.414192172,,
Non-Annex_I,Rest Central America,MSR,Montserrat,0.505574078,0.525378127,0.537756487,0.550410774,0.563863105,0.577864241,0.591038427,0.606241195,0.608592247,0.611010896,0.625648022,0.623344564,0.637580197,0.638676876,0.645154831,0.64457934,0.650949408,0.657941264,0.664911791,0.670828086,0.678802525,0.679848198,0.690636876,0.689286911,0.695728496,0.693855146,0.689345339,0.68313076,0.675621155,0.671083459,0.666568242,0.662995895,0.661843768,0.662961678,0.664524871,0.670333528,0.670857731,0.6780931,0.678096154,0.673550865,0.664475368,0.67635755,0.683383224,0.679421503,0.683458755,0.684529257,,
Non-Annex_I,Rest Central America,MTQ,Martinique,6.090154894,6.542127574,6.705766849,6.821885022,6.836175677,6.962942231,7.037084861,7.153358179,7.143218822,7.253642342,7.311825395,7.652542092,7.518138651,7.284242738,7.472430866,7.640324783,7.495354045,7.362128905,7.35064118,7.546085095,7.681076803,7.737525287,7.731321653,7.581777652,7.668414915,7.66887435,7.651782831,7.462759195,7.446382235,7.461971501,7.552629257,7.516596326,7.232802588,7.167861278,7.328806445,7.121578955,7.159027661,6.9453781,6.876427841,6.78721395,6.585601444,6.644567872,6.565466872,6.498635818,6.346330888,6.27933992,,
Non-Annex_I,Rest Central America,NIC,Nicaragua,185.3355432,173.7568382,174.9235105,181.8335937,194.9334458,202.9739707,206.9597868,212.8846983,213.0486083,197.7750637,178.5416449,183.1309309,186.4695675,171.6338502,185.2216158,186.4303069,170.0412875,156.909911,168.508761,198.8542357,216.4536471,184.0255441,202.3640362,223.1918623,227.0803303,205.3045928,202.3587968,216.806103,213.3574632,239.4362248,250.3760186,251.5889715,256.2696496,265.5444562,259.6343873,268.6837926,274.4131798,273.8381321,276.7550856,282.4548374,289.8320462,315.9393502,328.9452374,339.126406,352.8003076,367.9644014,,
Non-Annex_I,Rest Central America,PAN,Panama,112.5739627,118.7229493,122.6000999,124.2121259,127.0942291,129.2064109,131.2940059,130.2190925,129.6065869,131.3088805,129.1592678,132.217935,133.2761217,134.0051239,133.0924523,132.5347835,132.065343,131.6793406,133.4298086,134.9913991,136.1387992,137.5146661,140.2412654,141.8131229,144.3079843,145.2346788,144.9523434,137.6033724,142.5421556,140.4536228,141.8239121,155.6199437,156.9279948,156.14726,154.5108693,158.0459365,160.4703394,156.9390648,164.098272,165.3253943,165.0855285,170.8375168,169.801308,171.7190133,164.9437277,161.563411,,
Non-Annex_I,Rest Central America,PRI,Puerto Rico,57.04037343,59.06492337,59.82451947,60.7104538,60.29537724,61.0177489,63.10192165,64.68801456,64.91831146,63.58023778,61.61956323,63.8459785,67.72320341,71.62443442,74.1353976,76.14345098,78.12063026,75.15504921,78.41928547,81.65338841,83.69400387,84.65017107,75.20688005,75.87780214,76.63259736,73.65778888,73.79415698,74.99422066,75.08033503,74.71080459,75.63765417,75.74508312,75.50942339,75.66857139,73.31664952,72.48427998,72.66552116,72.66520433,72.60701387,72.20518179,72.65023623,72.70982866,72.55403415,72.40236316,72.34954714,71.27519865,,
Non-Annex_I,Rest Central America,SLV,El Salvador,106.2574307,101.5550598,104.6137449,98.89146273,102.4380248,104.8357982,109.9679816,119.320182,124.2437939,127.4827931,117.6342749,111.5014587,103.9262972,103.2554388,105.0218342,109.1679739,109.6683954,112.493929,114.8841878,118.0308519,121.9437555,125.5247392,128.2695474,125.2477121,128.6434817,120.40798,132.0593266,133.4468301,123.1693783,125.357231,121.1019123,129.9821964,134.6836494,132.0826537,133.5212213,133.8498673,137.5531786,132.4439811,133.5137885,127.6552664,121.9418929,111.9518253,116.8669548,103.393394,117.6983423,116.1142141,,
Non-Annex_I,Rest Central America,TCA,Turks and Caicos Islands,0.046176273,0.050522875,0.052285045,0.054620961,0.05621868,0.058063033,0.059676034,0.062088905,0.063285762,0.065368956,0.067646124,0.071972009,0.077151008,0.082659683,0.088300587,0.093182679,0.098808457,0.104347566,0.110398744,0.116587985,0.125377187,0.134348587,0.143506364,0.154028819,0.165940718,0.17566474,0.185463846,0.194946293,0.204484084,0.212482083,0.226737762,0.244006377,0.26351805,0.284193062,0.305059455,0.322597642,0.336398513,0.358488199,0.379109856,0.388853813,0.399873888,0.422492884,0.429511316,0.434944219,0.438748763,0.447617339,,
Non-Annex_I,Rest Central America,TTO,Trinidad and Tobago,133.5692457,129.000106,122.1112046,154.2421773,200.3938285,215.0559262,220.4154353,223.826246,206.3574003,203.9705247,233.8329403,235.4239414,322.167731,342.4571914,358.7294225,404.7954569,377.6819277,374.0443915,335.0629765,281.9957654,217.2033347,227.0915036,237.1949541,219.279158,209.4491945,162.0339733,206.6273526,184.1486162,186.4718486,215.3034843,265.2971669,280.8002776,316.4180147,429.8758284,478.1862111,499.3517502,615.8102584,612.2807604,640.1897765,626.0045019,648.50678,629.0205328,593.5118537,621.2573237,629.535834,568.5955751,,
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,1.270956806,1.359390089,1.383543916,1.415425774,1.440552918,1.468108344,1.49995174,1.530482872,1.561635984,1.594269274,1.623755329,1.663192147,1.696267457,1.744360428,1.797226376,1.785150938,1.776538851,1.729976305,1.813053521,1.802453585,1.835900922,1.803027628,1.812643606,1.832396022,1.867685346,1.880694666,1.891636397,1.901906417,1.911114836,1.909948223,1.907809947,1.902978897,1.905357686,1.885501405,1.901340165,1.914209311,1.934992341,1.97501687,1.992232506,2.02906222,2.035487017,2.04784653,2.021440174,1.958411506,1.927667674,1.914299505,,
Non-Annex_I,Rest Central America,VGB,Virgin Islands_British,0.26479355,0.284016535,0.289071816,0.295580229,0.311260064,0.313817314,0.327951491,0.331591768,0.326657445,0.330193123,0.345777863,0.354840202,0.353642202,0.359929786,0.365457244,0.364991606,0.362009745,0.363123472,0.373509662,0.383598035,0.394849197,0.401920317,0.410245603,0.415351159,0.421428892,0.425845482,0.433263816,0.437923918,0.441931944,0.448141223,0.453633692,0.457655564,0.462990449,0.469572455,0.478312471,0.484565462,0.356124653,0.37598236,0.385721539,0.393015824,0.397610605,0.414469002,0.421387004,0.426286666,0.433786197,0.441390329,,
Non-Annex_I,Rest Central America,VIR,Virgin Islands_USA,1.143157929,1.142522371,1.238540891,1.300395413,1.36541647,1.432021,1.478642002,1.523098347,1.569624278,1.612061622,1.662922714,1.693353315,1.753165656,1.794324136,1.833005162,1.876551884,1.919377463,1.569051495,1.758151808,1.762577154,1.761809422,1.776490281,1.79330197,1.804905513,1.822486949,1.836834065,1.84616305,1.854273562,1.861744817,1.868405469,1.874655789,1.876384121,1.877367766,1.877445622,1.87735227,1.878047679,1.875635754,1.879293538,1.878561868,1.875858148,1.87322655,1.874456302,1.872207834,1.873602707,1.877541809,1.874512434,,
Non-Annex_I,Brazil,BRA,Brazil,7344.367378,7423.405591,7691.717215,7861.781118,8237.550984,8514.446592,9156.346412,9399.945508,9427.904726,9692.717679,10522.48353,10746.5913,11001.66932,11213.87952,11822.39016,11873.20404,12053.32979,12315.19392,12610.80828,12896.04154,12749.5267,13283.34906,13698.71588,14094.16,14662.20789,15109.74093,14795.08411,14893.68033,14953.95388,15109.67112,15283.64268,15785.56595,16487.3678,17367.56241,18149.01362,18530.30453,18536.91436,18339.40425,18839.62415,18965.51445,19524.11186,19801.6329,19789.88837,20073.66657,20316.85462,20731.30937,,
Non-Annex_I,Rest South America,ARG,Argentina,4341.153056,4427.313698,4546.888119,4761.693707,4777.700378,4997.754222,5369.7257,5569.971621,5545.457538,5578.248607,5441.796248,5163.170667,5171.780439,5198.182597,5629.516801,5420.061117,5142.759708,5098.416478,5469.67891,5635.060502,5494.403995,5222.65002,5283.23346,5474.503143,5655.282398,5128.70574,5363.937656,4927.966385,4664.611895,4740.254374,4725.126189,4750.152663,4944.351836,5265.626004,5371.192297,5370.086541,5461.793162,5424.892167,5350.358971,5112.257969,4773.978314,4714.213949,4833.448122,4895.927518,4956.221117,4944.937201,,
Non-Annex_I,Rest South America,BOL,Bolivia,363.8620972,494.5693349,590.0321412,539.790718,489.1546048,514.3062562,578.7899303,521.8313027,620.2547474,550.4857063,531.6409549,519.9553526,509.2517595,568.2651247,549.7266754,582.638812,523.2668842,536.7237707,610.208244,686.0733827,649.6614491,693.0532708,752.9870617,953.5611397,924.3628862,669.7965528,659.1489584,736.814035,643.9768564,645.0903662,671.1621229,634.6881961,665.4674679,699.8130988,740.6635754,782.2396317,799.8204727,828.3892906,857.4524588,860.5411861,910.1755574,942.1815737,989.4652165,1032.12479,1036.303207,1017.121493,,
Non-Annex_I,Rest South America,BVT,Bouvet Island,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
